Feature,SHAP_Importance
cd420,0.08652129347178932
preanti,0.017903708922618007
cd40,0.014244842342290375
symptom,0.012582608470818192
karnof,0.01222554374847665
trt,0.01203473796328865
wtkg,0.011277571730064988
cd80,0.010153899055655002
age,0.009395234279436143
treat,0.009303350133382534
cd820,0.009299795757037937
race,0.0051967579447566555
strat,0.004998550428590666
gender,0.0024604894072486265
homo,0.001887412848761652
z30,0.0015689212725049212
offtrt,0.0014395972696919729
str2,0.0014243103837763612
hemo,0.0009398797415535963
zprior,0.0
oprior,0.0
drugs,0.0
